CURRENT_LAND_VALUE,prediction
1510000.0,1638933.3322373312
1935000.0,1653752.6936735963
577000.0,728207.283107966
676000.0,759330.6500136157
1636000.0,1908495.1348127597
497000.0,744884.5595114281
1588000.0,1562764.8243121447
2370000.0,1635339.2261235963
1503000.0,1516527.8256795346
687000.0,635964.4575256013
786000.0,805976.6048258871
645000.0,759330.6500136157
358000.0,728207.283107966
3109000.0,2006567.9114843905
569000.0,759330.6500136157
1881000.0,821539.5143841316
989000.0,1662300.9805356895
1665000.0,1562764.8243121447
940000.0,853777.248134999
1700000.0,1924646.0869841403
3495000.0,2287735.077636187
1269000.0,1987909.9065157392
1728000.0,2139185.348979079
1751000.0,2079885.389288939
1621000.0,2091052.047336135
3518000.0,2921673.1919471556
1572000.0,1234811.0239701185
3518000.0,3069319.2627975587
1451000.0,2030460.3380524777
703000.0,1913924.8584216207
2308000.0,1763684.8900589987
1619664.0,849006.5291324105
2334000.0,2916119.208032403
462000.0,834812.6607657848
1267000.0,1696971.6731769624
1712000.0,2086428.4102356904
427000.0,728207.283107966
506000.0,759330.6500136157
431000.0,728207.283107966
455000.0,728207.283107966
3518000.0,3196455.0593229346
2646000.0,2469928.765244015
1601000.0,1517176.7262355718
2554000.0,1871623.9671066597
497000.0,744884.5595114281
652000.0,776007.9264170779
2774000.0,2000853.5768049457
519000.0,728207.283107966
1143000.0,1665597.5400095186
1265000.0,1665597.5400095186
1238000.0,1763684.8900589987
621000.0,759330.6500136157
366000.0,728207.283107966
509000.0,759330.6500136157
646000.0,759330.6500136157
1610000.0,2105999.3037801925
2030000.0,2091052.047336135
3518000.0,2258465.2038019686
572226.0,759330.6500136157
2750000.0,2091052.047336135
454000.0,728207.283107966
1344000.0,1972598.4703385874
2680000.0,2040059.3418596417
696000.0,639642.203406635
2767000.0,3131750.67988249
1295000.0,1647116.482849095
478000.0,776007.9264170779
587000.0,776007.9264170779
412000.0,776007.9264170779
405000.0,728207.283107966
397000.0,759330.6500136157
754000.0,805976.6048258871
545000.0,759330.6500136157
411000.0,728207.283107966
516000.0,759330.6500136157
698000.0,759330.6500136157
668000.0,759330.6500136157
649000.0,759330.6500136157
551000.0,759330.6500136157
3024000.0,1539699.1277671927
1567000.0,1707205.4100514215
1507000.0,1845776.9492701679
1539000.0,822653.8812293492
2814000.0,2792895.5380384536
2430000.0,2435579.544676992
1802000.0,1771356.1829797488
3518000.0,807603.9983461133
1720000.0,810101.8549391847
1400000.0,823987.0663454905
1662000.0,1653752.6936735963
924000.0,776007.9264170779
1162000.0,1773265.7281828548
1384000.0,1773265.7281828548
1353000.0,859453.4927726181
1638000.0,2006567.9114843905
423000.0,728207.283107966
591000.0,759330.6500136157
1360000.0,1666601.4359324356
1076000.0,837099.9717315368
1978000.0,2159210.0765031492
478000.0,807603.9983461133
1300000.0,1517176.7262355718
492000.0,759330.6500136157
2572000.0,2792895.5380384536
1807000.0,1782206.5094735562
1830000.0,1938794.9002160362
2445000.0,1562115.9237561072
2400000.0,1562764.8243121447
1521000.0,2139292.348819664
3518000.0,2130483.24332901
724000.0,759330.6500136157
1387000.0,1528027.0527293792
1727000.0,1516527.8256795346
721000.0,710933.7002130012
730000.0,679948.316959379
1701000.0,2105999.3037801925
1920000.0,1562764.8243121447
2270000.0,1782206.5094735562
1253000.0,1634759.284820484
385000.0,635964.4575256013
462000.0,635964.4575256013
624000.0,635964.4575256013
564000.0,635964.4575256013
580000.0,635964.4575256013
558000.0,635964.4575256013
610000.0,635964.4575256013
661000.0,635964.4575256013
745000.0,635964.4575256013
589000.0,639642.203406635
421000.0,635964.4575256013
641000.0,635964.4575256013
553000.0,639642.203406635
515000.0,635964.4575256013
725000.0,635964.4575256013
550000.0,635964.4575256013
607000.0,635964.4575256013
452000.0,635964.4575256013
806000.0,635964.4575256013
574000.0,639642.203406635
1701000.0,1781476.2866874244
2470000.0,3007601.5357915154
1383000.0,710933.7002130012
2046000.0,821539.5143841316
1008000.0,710933.7002130012
2445000.0,1646304.5054250113
1520000.0,1658698.0982876418
2378000.0,2507748.3161199912
3170000.0,2832152.0161387906
1511000.0,1615214.0896559109
575000.0,645720.9760459507
1978000.0,2313573.561805387
1161000.0,1670221.1771099628
405000.0,728207.283107966
418000.0,728207.283107966
579000.0,728207.283107966
489000.0,759330.6500136157
488000.0,759330.6500136157
551000.0,759330.6500136157
3518000.0,2757206.7981282584
1192000.0,1535521.1226583635
647000.0,776007.9264170779
837000.0,805976.6048258871
486000.0,728207.283107966
628000.0,728207.283107966
840000.0,837099.9717315368
825000.0,837099.9717315368
