CURRENT_LAND_VALUE,prediction
1758000.0,1562764.8243121447
1774000.0,2083436.6679959998
768000.0,728207.283107966
1205000.0,1535521.1226583635
2476000.0,1920558.1028376422
1486000.0,1718626.2992348787
765000.0,759330.6500136157
414000.0,728207.283107966
424000.0,728207.283107966
862000.0,805976.6048258871
864000.0,759330.6500136157
692000.0,759330.6500136157
589000.0,728207.283107966
677000.0,759330.6500136157
1905000.0,1895448.6560750012
1386000.0,1516527.8256795346
1655000.0,1908495.1348127597
1647000.0,1562764.8243121447
972000.0,744884.5595114281
1515000.0,1517176.7262355718
3318000.0,2939745.044203167
3039000.0,2832152.0161387906
478000.0,1521524.5392746492
1319000.0,1517176.7262355718
752000.0,759330.6500136157
542000.0,744884.5595114281
2605000.0,2258465.2038019686
451000.0,759330.6500136157
414000.0,728207.283107966
455000.0,728207.283107966
3518000.0,3036956.3229410206
3518000.0,3036956.3229410206
414000.0,759330.6500136157
477000.0,759330.6500136157
1422000.0,1929945.4532069364
1635000.0,1466116.6830259897
3518000.0,1126688.6419973688
1771000.0,1722216.958663335
854000.0,728207.283107966
557000.0,759330.6500136157
1653000.0,2086428.4102356904
562000.0,759330.6500136157
556000.0,759330.6500136157
2610000.0,2316664.065844924
1248000.0,807603.9983461133
2806000.0,1562764.8243121447
1525000.0,1785622.9262114663
1665000.0,2032975.8139499002
1743000.0,2091052.047336135
1559000.0,1822538.400403826
417000.0,728207.283107966
3399559.0,3082986.464343491
3518000.0,1078576.0896776346
438000.0,635964.4575256013
1476000.0,1588607.5962807215
351000.0,776007.9264170779
487000.0,759330.6500136157
783000.0,759330.6500136157
996000.0,759330.6500136157
778000.0,759330.6500136157
540000.0,728207.283107966
540000.0,759330.6500136157
548000.0,759330.6500136157
533000.0,759330.6500136157
350000.0,728207.283107966
543000.0,759330.6500136157
420000.0,728207.283107966
697000.0,759330.6500136157
684000.0,759330.6500136157
377000.0,728207.283107966
2696000.0,2061445.286088603
3518000.0,1822066.4807311692
1360000.0,1845776.9492701679
2030000.0,2086428.4102356904
1643000.0,2083279.5018577059
1188000.0,1517176.7262355718
1617000.0,2138002.4606178626
551000.0,728207.283107966
706000.0,759330.6500136157
3518000.0,3162196.2580377557
3406000.0,2177196.1877039666
1954000.0,2086428.4102356904
1275000.0,1516527.8256795346
3518000.0,807603.9983461133
1925000.0,2066486.2055668845
2733000.0,2138002.4606178626
2700000.0,2024779.909956032
1540000.0,1947484.4471524283
2029000.0,1562764.8243121447
558000.0,759330.6500136157
1076000.0,837099.9717315368
858000.0,728207.283107966
3328000.0,2282081.240335635
417000.0,728207.283107966
1714000.0,1535521.1226583635
1814131.0,1938794.9002160362
2533000.0,2287735.077636187
1885000.0,2287735.077636187
2818000.0,2792895.5380384536
1781000.0,1562764.8243121447
1200000.0,1651031.0609266285
1633000.0,1934171.2631155923
1399000.0,2047718.6874994703
1241000.0,1444533.253296912
3518000.0,3164271.059387704
632000.0,759330.6500136157
2886000.0,2414302.9489486255
3183000.0,2414302.9489486255
1604000.0,1843016.7348236113
2470000.0,2091052.047336135
1652000.0,2184017.1780035333
1702000.0,2053800.9820221923
516000.0,776007.9264170779
1874000.0,915686.0417305076
1317000.0,2006120.6801859052
1684000.0,1938794.9002160362
796000.0,764438.9822724303
1965000.0,1815581.1556083988
1275000.0,1920558.1028376422
