CURRENT_LAND_VALUE,prediction
1535000.0,1574698.5834820056
430000.0,728207.283107966
2034000.0,1816428.3720908281
1540000.0,1615214.0896559109
942000.0,1535521.1226583635
1788000.0,2091052.047336135
1759000.0,1562764.8243121447
406000.0,728207.283107966
853000.0,759330.6500136157
666000.0,728207.283107966
689000.0,728207.283107966
810000.0,837099.9717315368
662000.0,759330.6500136157
834000.0,759330.6500136157
466000.0,759330.6500136157
2790000.0,2414302.9489486255
1500000.0,2086428.4102356904
2480000.0,2202243.710838715
669000.0,710933.7002130012
677000.0,776007.9264170779
752000.0,1913924.8584216207
832000.0,1913924.8584216207
2591000.0,2760572.796183998
1041000.0,1601733.9733758979
437000.0,728207.283107966
424000.0,728207.283107966
482000.0,759330.6500136157
590000.0,728207.283107966
502682.0,759330.6500136157
1720000.0,759330.6500136157
495000.0,759330.6500136157
1764000.0,1523131.5002035256
384000.0,759330.6500136157
569000.0,728207.283107966
856000.0,759330.6500136157
3518000.0,1078576.0896776346
350000.0,1482002.2186229029
1518000.0,821539.5143841316
495000.0,728207.283107966
1297000.0,2057466.6434745106
3518000.0,2817403.9110343773
1675000.0,2322701.297436666
444000.0,776007.9264170779
3518000.0,3270069.7485147538
1167000.0,837099.9717315368
452000.0,744884.5595114281
1510000.0,1517176.7262355718
2856000.0,2301526.129565853
391000.0,776007.9264170779
977000.0,837099.9717315368
434000.0,728207.283107966
505000.0,728207.283107966
356000.0,728207.283107966
472000.0,728207.283107966
1298000.0,1730121.449178698
1122000.0,1130162.150721867
2500000.0,2091052.047336135
1274000.0,2205248.1255108444
303000.0,728207.283107966
3245000.0,2258465.2038019686
812000.0,776007.9264170779
604000.0,822653.8812293492
3518000.0,3002158.509065323
1445000.0,1663017.130029627
1622000.0,1562764.8243121447
1192230.0,837099.9717315368
543000.0,759330.6500136157
602000.0,728207.283107966
1922000.0,1562764.8243121447
3518000.0,2827327.5943757268
878000.0,849006.5291324105
448000.0,744884.5595114281
2596000.0,759330.6500136157
1655000.0,1943388.8279020726
381000.0,728207.283107966
548000.0,759330.6500136157
536000.0,744884.5595114281
1756000.0,2052342.3245999143
1290000.0,2052342.3245999143
1334000.0,1843016.7348236113
1781000.0,1562764.8243121447
1790000.0,1653752.6936735963
1663000.0,947421.388421787
2416000.0,2091052.047336135
3005000.0,1788165.9364961348
1173000.0,1693057.0950994294
366000.0,635964.4575256013
550000.0,635964.4575256013
461000.0,635964.4575256013
476000.0,635964.4575256013
518000.0,635964.4575256013
630000.0,635964.4575256013
716000.0,635964.4575256013
638000.0,635964.4575256013
612000.0,635964.4575256013
655000.0,635964.4575256013
600000.0,635964.4575256013
748000.0,635964.4575256013
695000.0,635964.4575256013
702000.0,635964.4575256013
661000.0,635964.4575256013
539000.0,635964.4575256013
538000.0,635964.4575256013
546000.0,639642.203406635
534000.0,639642.203406635
1740000.0,1562764.8243121447
571000.0,744884.5595114281
617000.0,639642.203406635
975000.0,764438.9822724303
1442000.0,2015800.6152761213
471000.0,728207.283107966
1431000.0,2024008.7343154282
1826000.0,1895859.3675711602
1598000.0,1562764.8243121447
543000.0,759330.6500136157
481000.0,728207.283107966
447000.0,728207.283107966
430000.0,759330.6500136157
543000.0,728207.283107966
321000.0,728207.283107966
363000.0,759330.6500136157
2102000.0,2056821.648988159
755000.0,805976.6048258871
766000.0,728207.283107966
610000.0,728207.283107966
419000.0,1283712.0420562169
2275000.0,2285064.4725044393
1249000.0,759330.6500136157
1105000.0,1130811.0512779045
1492000.0,885212.524051271
1906000.0,1741928.9378635245
2046000.0,1195283.8649767546
2200000.0,1960252.270590755
3024000.0,1601863.7810465521
1778000.0,1663573.8468243033
1164000.0,897119.0814521447
1630000.0,1895859.3675711602
3440000.0,2336794.9052252867
1458000.0,1987126.978215813
