CURRENT_LAND_VALUE,prediction
422000.0,759330.6500136157
1294000.0,1535521.1226583635
1603000.0,2053800.9820221923
3518000.0,2829242.9534700103
2370000.0,914048.5799911689
3518000.0,3091683.9480507947
566000.0,635964.4575256013
406000.0,728207.283107966
468000.0,728207.283107966
883000.0,759330.6500136157
674000.0,728207.283107966
634000.0,728207.283107966
589000.0,728207.283107966
539000.0,759330.6500136157
3518000.0,2020424.2523765652
1674000.0,1616836.3304371971
639000.0,865532.2654119337
1155000.0,1517176.7262355718
1292000.0,1662300.9805356895
3518000.0,2287735.077636187
1284000.0,1517176.7262355718
1612000.0,1562764.8243121447
749000.0,710933.7002130012
2456000.0,2916119.208032403
2727000.0,2939745.044203167
2528000.0,1816428.3720908281
680000.0,1858897.2534405217
2677000.0,1898193.5887291864
473000.0,728207.283107966
447000.0,728207.283107966
410000.0,728207.283107966
441000.0,728207.283107966
418000.0,728207.283107966
402000.0,728207.283107966
2558000.0,2287735.077636187
2751000.0,2258465.2038019686
1279000.0,1656378.5520239316
1413000.0,1026007.4584207576
1750000.0,1770707.2824237116
3511000.0,2022735.5633523823
1447000.0,1221798.9206393564
1028000.0,701851.0677771509
633000.0,759330.6500136157
516000.0,728207.283107966
2114000.0,974888.4031700657
638000.0,759330.6500136157
571000.0,728207.283107966
1629000.0,1562764.8243121447
3106000.0,2298074.6688312558
562000.0,776007.9264170779
514000.0,759330.6500136157
1910000.0,2298074.6688312558
3225000.0,1895448.6560750012
3402000.0,2287735.077636187
625000.0,1951827.439754373
1051000.0,915686.0417305076
336000.0,728207.283107966
399000.0,744884.5595114281
3518000.0,1278785.752252656
3518000.0,2836693.05739939
1874000.0,1990285.9615177307
1698000.0,1990285.9615177307
2494000.0,3131750.67988249
843000.0,728207.283107966
1506000.0,1175750.24879844
1295000.0,1130162.150721867
704000.0,776007.9264170779
408000.0,759330.6500136157
481000.0,728207.283107966
735000.0,759330.6500136157
636000.0,728207.283107966
530000.0,728207.283107966
682000.0,759330.6500136157
417000.0,728207.283107966
1817000.0,1010484.7852751131
3518000.0,3002158.509065323
1495000.0,1562764.8243121447
1916000.0,1646304.5054250113
3518000.0,2022735.5633523823
1332000.0,822653.8812293492
1197000.0,1843016.7348236113
533000.0,728207.283107966
1130000.0,2196152.7803388773
3006000.0,1529948.5928056056
2075000.0,1535521.1226583635
597000.0,849006.5291324105
2530000.0,2091052.047336135
1498000.0,1959167.8913802481
1902000.0,2129455.557886024
2030000.0,1372997.584187857
489000.0,744884.5595114281
1328000.0,869652.0667038657
2986000.0,2702893.992755759
1030000.0,1517176.7262355718
1919000.0,1535521.1226583635
1809000.0,1974698.2616721306
1606000.0,1943542.0154779311
550000.0,744884.5595114281
2555000.0,2091052.047336135
2030000.0,2091052.047336135
812000.0,710933.7002130012
924000.0,710933.7002130012
1588000.0,2053800.9820221923
455000.0,744884.5595114281
1256000.0,1895859.3675711602
2477000.0,2287735.077636187
2667000.0,3128033.674170094
3518000.0,3162196.2580377557
1553000.0,1562764.8243121447
2836000.0,3226267.4884145483
2852000.0,2477284.5264603174
1224000.0,1535521.1226583635
463000.0,635964.4575256013
513000.0,635964.4575256013
652000.0,635964.4575256013
501000.0,635964.4575256013
735000.0,635964.4575256013
636000.0,635964.4575256013
680000.0,635964.4575256013
541000.0,635964.4575256013
756000.0,635964.4575256013
463000.0,635964.4575256013
506000.0,635964.4575256013
428000.0,635964.4575256013
609000.0,635964.4575256013
592000.0,635964.4575256013
626000.0,635964.4575256013
480000.0,635964.4575256013
576000.0,635964.4575256013
478000.0,635964.4575256013
465000.0,639642.203406635
531000.0,635964.4575256013
552000.0,635964.4575256013
908000.0,635964.4575256013
655000.0,635964.4575256013
475000.0,639642.203406635
623000.0,635964.4575256013
1328000.0,1641276.1949626321
502000.0,759330.6500136157
1754000.0,2053800.9820221923
822000.0,764438.9822724303
1303000.0,1781476.2866874244
1695000.0,2022735.5633523823
2591000.0,1677954.73803813
1772000.0,899308.8361020528
991000.0,710933.7002130012
1002000.0,710933.7002130012
2642000.0,1617468.4494851136
1630000.0,837099.9717315368
1502000.0,1517176.7262355718
561000.0,759330.6500136157
541000.0,759330.6500136157
503000.0,759330.6500136157
445000.0,728207.283107966
363000.0,759330.6500136157
3017000.0,2820305.8922614027
587000.0,759330.6500136157
824000.0,759330.6500136157
580000.0,728207.283107966
622000.0,805976.6048258871
807000.0,759330.6500136157
652000.0,728207.283107966
1225000.0,1677954.73803813
2898000.0,2829242.9534700103
2470000.0,2086428.4102356904
2030000.0,2086428.4102356904
1352000.0,2347905.1684310636
1645000.0,1608164.5955970236
2352000.0,1562115.9237561072
2060000.0,1741928.9378635245
1065000.0,1516527.8256795346
2628000.0,2049986.563718617
2550000.0,1826820.4206921689
1366000.0,1733404.7376471008
2138000.0,2052342.3245999143
1556000.0,1958184.8788488512
1599000.0,1523131.5002035256
539000.0,759330.6500136157
3518000.0,2847069.9012363264
2822000.0,1700424.224426223
2820000.0,1545228.9785494753
3228000.0,1841922.7777534681
423000.0,849006.5291324105
2451000.0,2056821.648988159
2530000.0,2030460.3380524777
2098000.0,1372997.584187857
2376000.0,1475634.6989233722
1578000.0,1372997.584187857
3518000.0,3150348.080340226
467000.0,728207.283107966
582000.0,759330.6500136157
1507000.0,2052342.3245999143
1783000.0,2311774.5730805933
2341000.0,1694417.0577447456
2020000.0,2192196.5765251988
1237000.0,1709002.4987485379
1190000.0,1516527.8256795346
3183000.0,2886175.592177327
1570000.0,1535521.1226583635
1431000.0,1776629.7109354693
1436000.0,1544242.3772725712
3518000.0,3011171.0339064756
1802000.0,1898326.2285157752
299000.0,849006.5291324105
1230000.0,974888.4031700657
1413000.0,1517176.7262355718
1472000.0,2072101.4078951995
1230000.0,1455383.5797907193
2081000.0,2178028.4574493836
421000.0,963351.4957630783
2076000.0,1872761.032942503
1757000.0,1653752.6936735963
2989000.0,2298074.6688312558
1929000.0,2112428.4324418986
551000.0,759330.6500136157
3518000.0,2882067.880433964
1549000.0,2006120.6801859052
827000.0,999475.2597055543
3518000.0,2340094.555962498
2200000.0,1449392.2499019955
3518000.0,3204434.619416273
1488000.0,812563.5375524018
3518000.0,759330.6500136157
740000.0,744884.5595114281
2275000.0,2030460.3380524777
1613000.0,1535521.1226583635
1524000.0,1176399.1493544774
1596000.0,1176399.1493544774
2505000.0,2091052.047336135
3518000.0,3266594.9772222303
1297000.0,728207.283107966
1065000.0,1619656.9277591847
1577000.0,1934171.2631155923
1052000.0,1221798.9206393564
1270000.0,1516527.8256795346
541000.0,744884.5595114281
3518000.0,2220423.308668666
2889000.0,2287735.077636187
1634000.0,1718626.2992348787
571000.0,759330.6500136157
513000.0,728207.283107966
618000.0,759330.6500136157
758000.0,728207.283107966
681000.0,759330.6500136157
2973000.0,2488651.3411980444
977000.0,1647116.482849095
3518000.0,3011069.995623846
1650000.0,1615214.0896559109
1472000.0,1895859.3675711602
1387000.0,1718626.2992348787
1157000.0,776007.9264170779
525000.0,805976.6048258871
615000.0,759330.6500136157
2540000.0,2091052.047336135
1854000.0,2258465.2038019686
1132000.0,2013335.685269934
2349000.0,2287735.077636187
1810000.0,1176399.1493544774
503000.0,759330.6500136157
3518000.0,1689373.0062696463
3083000.0,3249452.271027065
3154000.0,3249452.271027065
663000.0,776007.9264170779
1057000.0,1684614.4751483514
561000.0,727374.8263794926
615000.0,645720.9760459507
2573000.0,2852897.6874797433
3458000.0,1653752.6936735963
3188000.0,3112249.395935484
1072000.0,859453.4927726181
3518000.0,2916119.208032403
2782000.0,2061445.286088603
560000.0,807603.9983461133
2160000.0,2022735.5633523823
1109000.0,884562.6748248575
2113000.0,1653752.6936735963
560000.0,926775.8508503316
445000.0,849006.5291324105
3518000.0,2417773.3499213997
2926000.0,1887863.3900038027
1665000.0,1947484.4471524283
419000.0,837099.9717315368
399000.0,834812.6607657848
477000.0,881458.700817079
351000.0,805976.6048258871
368000.0,805976.6048258871
2840000.0,2120480.943472018
914000.0,1709002.4987485379
487000.0,728207.283107966
408000.0,849006.5291324105
317000.0,849006.5291324105
3327000.0,1989521.1182265044
574000.0,759330.6500136157
625000.0,759330.6500136157
493000.0,759330.6500136157
2236000.0,1181305.7419106893
3472000.0,3173663.873920201
735000.0,728207.283107966
859000.0,728207.283107966
2530000.0,2025836.7009520337
1694000.0,1725524.8812792771
2621000.0,1879153.8058575864
1371000.0,1728405.3038810443
2683000.0,2435579.544676992
455000.0,728207.283107966
2045000.0,2030460.3380524777
889881.0,759330.6500136157
1297000.0,1517176.7262355718
2978000.0,3112249.395935484
3008000.0,2006567.9114843905
1290000.0,1535521.1226583635
