CURRENT_LAND_VALUE,prediction
1804000.0,1843016.7348236113
1161000.0,1991750.6153162569
1300424.0,701851.0677771509
514000.0,728207.283107966
2441000.0,1844973.711090948
586000.0,759330.6500136157
1247000.0,1641276.1949626321
751000.0,639642.203406635
1586000.0,2091052.047336135
1229000.0,1898193.5887291864
653000.0,635964.4575256013
495000.0,635964.4575256013
540000.0,635964.4575256013
1530000.0,2015800.6152761213
1030000.0,1632014.1257877958
3518000.0,2507748.3161199912
1019000.0,837099.9717315368
540000.0,728207.283107966
513000.0,728207.283107966
1537000.0,1983173.1870626234
1460000.0,1929945.4532069364
2329000.0,1562115.9237561072
1421000.0,1517176.7262355718
450000.0,849006.5291324105
459000.0,759330.6500136157
288000.0,849006.5291324105
3518000.0,2469928.765244015
2373000.0,2067912.3080111023
1372000.0,2475151.720330071
2188000.0,2086428.4102356904
3518000.0,3112249.395935484
2695000.0,2791638.854465532
622000.0,759330.6500136157
564000.0,728207.283107966
761000.0,805976.6048258871
3518000.0,2846965.5863612234
2996000.0,1562115.9237561072
616000.0,728207.283107966
702764.0,759330.6500136157
1579000.0,1776629.7109354693
1198000.0,1535521.1226583635
1990000.0,1653752.6936735963
2721000.0,2061445.286088603
908000.0,805976.6048258871
459000.0,635964.4575256013
873000.0,728207.283107966
1329000.0,1509816.2973314673
603000.0,881458.700817079
1347000.0,1517176.7262355718
1690000.0,808809.7143182098
996000.0,807603.9983461133
1241000.0,1516527.8256795346
721500.0,728207.283107966
377000.0,728207.283107966
1688000.0,2015800.6152761213
1345000.0,2020537.334729237
519000.0,849006.5291324105
410000.0,849006.5291324105
493000.0,635964.4575256013
552000.0,635964.4575256013
556000.0,635964.4575256013
442000.0,635964.4575256013
342000.0,1186158.218641921
531000.0,1217281.5855475708
1264000.0,1444533.253296912
1007000.0,1641276.1949626321
1410000.0,1608164.5955970236
507000.0,728207.283107966
2975000.0,1880124.1537071194
694000.0,744884.5595114281
1648000.0,1938794.9002160362
1305000.0,1535521.1226583635
532000.0,821539.5143841316
1195000.0,1482990.5623167702
3518000.0,2258465.2038019686
453000.0,807603.9983461133
1436000.0,1665472.1390228192
678000.0,759330.6500136157
703000.0,728207.283107966
297000.0,639642.203406635
274000.0,635964.4575256013
1496000.0,1951827.439754373
468000.0,728207.283107966
2178961.0,2340859.6361559792
654000.0,728207.283107966
397000.0,1521524.5392746492
3518000.0,3319280.154567795
517000.0,635964.4575256013
496000.0,635964.4575256013
528000.0,837099.9717315368
584000.0,1909301.2213211767
544000.0,759330.6500136157
787000.0,728207.283107966
542000.0,776007.9264170779
1750000.0,2091052.047336135
569000.0,759330.6500136157
804000.0,805976.6048258871
472000.0,1037105.8784450993
408000.0,728207.283107966
1867000.0,1653752.6936735963
1719000.0,1934171.2631155923
395000.0,635964.4575256013
